date,stablecoin_name,price,circulating_supply_usd,total_volume_usd,tvl_global_usd,price_deviation,log_volume,anomaly_score,is_anomaly
2023-04-14,USDT,1.000722050666809,56242010692.4,43263085148,67490412830.88,0.000722050666809082,24.490565571363934,1,0
2023-04-15,USDT,1.0007799863815308,30830445604.4,23715727388,36996534725.28,0.0007799863815307617,23.88940426791184,1,0
2023-04-16,USDT,1.0005359649658203,31727339377.5,24405645675,38072807253.0,0.0005359649658203125,23.91808032264524,1,0
2023-04-17,USDT,1.0005300045013428,42128070233.6,32406207872,50553684280.32,0.0005300045013427734,24.20161584241008,1,0
2023-04-18,USDT,1.0004080533981323,42047487558.700005,32344221199,50456985070.44,0.0004080533981323242,24.19970120824245,1,0
2023-04-19,USDT,1.0005589723587036,55642485930.200005,42801912254,66770983116.240005,0.0005589723587036133,24.479848617391234,1,0
2023-04-20,USDT,1.0002210140228271,47166903251.0,36282233270,56600283901.2,0.00022101402282714844,24.314594016831347,1,0
2023-04-21,USDT,1.000141978263855,44919544840.3,34553496031,53903453808.36,0.00014197826385498047,24.265774569653125,1,0
2023-04-22,USDT,1.0001850128173828,26438208681.3,20337083601,31725850417.56,0.0001850128173828125,23.735711834887372,1,0
2023-04-23,USDT,1.0000230073928833,25846366309.4,19881820238,31015639571.28,2.300739288330078e-05,23.713071595301265,1,0
2023-04-24,USDT,1.000120997428894,33175562347.2,25519663344,39810674816.64,0.00012099742889404297,23.962715103525642,1,0
2023-04-25,USDT,1.0001590251922607,33710621518.6,25931247322,40452745822.32,0.0001590251922607422,23.978714538810934,1,0
2023-04-26,USDT,1.0002820491790771,56763297130.8,43664074716,68115956556.96,0.00028204917907714844,24.499791512091765,1,0
2023-04-27,USDT,0.9999650120735168,46552967380.4,35809974908,55863560856.48,3.49879264831543e-05,24.301492320286304,1,0
2023-04-28,USDT,1.0006959438323977,35253285880.8,27117912216,42303943056.96,0.000695943832397683,24.023460313906284,1,0
2023-04-29,USDT,1.000601053237915,21520178421.3,16553983401,25824214105.56,0.0006010532379150391,23.529892598751143,1,0
2023-04-30,USDT,1.0004379749298096,27935944701.6,21489188232,33523133641.92,0.0004379749298095703,23.790815772713334,1,0
2023-05-01,USDT,1.0003290176391602,37866568838.8,29128129876,45439882606.560005,0.00032901763916015625,24.09497020664646,1,0
2023-05-02,USDT,1.0004340410232544,32364438843.1,24895722187,38837326611.72,0.00043404102325439453,23.9379618259791,1,0
2023-05-03,USDT,1.000270962715149,38724222531.8,29787863486,46469067038.16,0.0002709627151489258,24.117366881965726,1,0
2023-05-04,USDT,1.0004509687423706,29297870903.6,22536823772,35157445084.32,0.00045096874237060547,23.83841642049991,1,0
2023-05-05,USDT,1.0010180473327637,38187552328.9,29375040253,45825062794.68,0.0010180473327636719,24.10341117975873,1,0
2023-05-06,USDT,1.0018340349197388,35252709157.9,27117468583,42303250989.48,0.0018340349197387695,24.0234439543641,1,0
2023-05-07,USDT,1.001541018486023,24343355245.3,18725657881,29212026294.36,0.0015410184860229492,23.653160499617695,1,0
2023-05-08,USDT,1.0009260177612305,42718545321.4,32860419478,51262254385.68,0.0009260177612304688,24.21553471511617,1,0
2023-05-09,USDT,1.000723958015442,28764521061.9,22126554663,34517425274.28,0.0007239580154418945,23.82004429267121,1,0
2023-05-10,USDT,1.0008339881896973,41215910109.4,31704546238,49459092131.28,0.0008339881896972656,24.179725922026268,1,0
2023-05-11,USDT,1.0007230043411257,33971162032.6,26131663102,40765394439.12,0.0007230043411257103,23.986413561717214,1,0
2023-05-12,USDT,1.0005810260772705,37472441431.1,28824954947,44966929717.32,0.0005810260772705078,24.084507340151482,1,0
2023-05-13,USDT,1.0005589723587036,20352082983.7,15655448449,24422499580.44,0.0005589723587036133,23.47408483711456,1,0
