fecha,crypto_id,open,high,low,close,volume
2024-10-22,ripple,0.5334,0.5364,0.5219,0.5237,21549412.75731317
2024-10-23,ripple,0.5237,0.5331,0.5117,0.5291,23170912.94759397
2024-10-24,ripple,0.5291,0.5335,0.5202,0.5222,20580823.21253372
2024-10-25,ripple,0.5222,0.5236,0.4865,0.509,29361170.13342892
2024-10-26,ripple,0.509,0.5169,0.5089,0.5169,21290213.2253367
2024-10-27,ripple,0.5169,0.5214,0.5114,0.5137,18838267.92023069
2024-10-28,ripple,0.5137,0.5283,0.5113,0.5253,18610765.31738879
2024-10-29,ripple,0.5253,0.5307,0.5191,0.5229,17707403.04223061
2024-10-30,ripple,0.5229,0.5251,0.5074,0.5104,17652674.07427742
2024-10-31,ripple,0.5104,0.5242,0.5022,0.5159,21121249.15922185
2024-11-01,ripple,0.5159,0.522,0.5062,0.5101,19968699.48178932
2024-11-02,ripple,0.5101,0.5113,0.4914,0.4969,19139694.06853102
2024-11-03,ripple,0.4969,0.5144,0.4929,0.5101,18806293.97146344
2024-11-04,ripple,0.5101,0.5188,0.4956,0.5098,23588914.32920997
2024-11-05,ripple,0.5098,0.5426,0.5065,0.5305,29618526.91239405
2024-11-06,ripple,0.5305,0.5781,0.53,0.5496,26389052.67194823
2024-11-07,ripple,0.5496,0.5598,0.5458,0.5521,23469730.07795938
2024-11-08,ripple,0.5521,0.5562,0.5413,0.5484,20447048.46542571
2024-11-10,ripple,0.6047,0.6159,0.5625,0.5902,42475261.92726659
2024-11-11,ripple,0.5902,0.70317,0.5877,0.6786,109704873.5807726
2024-11-12,ripple,0.6786,0.7404,0.6406,0.7124,112530156.2441176
2024-11-13,ripple,0.7124,0.7546,0.669,0.7134,99679411.93134038
2024-11-14,ripple,0.7134,0.9153,0.7057,0.8661,193030822.4051243
2024-11-15,ripple,0.8661,1.2672,0.8596,1.1094,191250271.5434162
2024-11-16,ripple,1.1094,1.2063,1.0032,1.0834,161621209.1038324
2024-11-17,ripple,1.0834,1.1865,1.0315,1.1663,94644134.29086272
